"Falkner I., CT", 0.863, 0.667, 0.805
"Great Gull I., NY", 0.788, 0.807, 0.822
"Bird I., Marion, MA", 0.851, 0.751, 0.830
"Ram I., Mattapoisett, MA", 0.822, -1, 0.841
"Penikese I., Gosnold, MA", -1, -1, 0.771
